longitude,latitude
145.14679418,-38.12105270
145.14679276,-38.12105566
145.14678229,-38.12107843
145.14678119,-38.12108148
145.14679474,-38.12115632
145.14678954,-38.12105101
145.14664856,-38.12099972
145.14665717,-38.12103487
145.14669936,-38.12104892
145.14668854,-38.12112940
145.14668857,-38.12114505
145.14657646,-38.12102748
145.14656261,-38.12103847
145.14652882,-38.12104037
145.14655091,-38.12111018
145.14655550,-38.12113469
145.14652014,-38.12110857
145.14648319,-38.12108911
145.14648567,-38.12106627
145.14648735,-38.12105498
145.14649095,-38.12103297
145.14648391,-38.12093907
145.14648000,-38.12093556
145.14648848,-38.12095151
145.14648932,-38.12094801
145.14650780,-38.12094900
145.14652457,-38.12095486
145.14623130,-38.12110470
145.14651931,-38.12109176
145.14651929,-38.12109198
145.14651929,-38.12109199
145.14643915,-38.12109100
